,Protein,Number_of_detected_peptides
573,OSBP1_HUMAN,13
574,PB1_HUMAN,13
575,PGAM1_HUMAN,13
576,PHF2_HUMAN,13
577,PJA1_HUMAN,13
578,PKN1_HUMAN,13
579,PKP2_HUMAN,13
580,RA1L2_HUMAN,13
581,RAF1_HUMAN,13
582,RAI1_HUMAN,13
583,RANG_HUMAN,13
584,RAPH1_HUMAN,13
585,RMXL1_HUMAN,13
586,RPB1_HUMAN,13
587,RS2_HUMAN,13
588,SFSWA_HUMAN,13
589,SHAN2_HUMAN,13
590,SNIP1_HUMAN,13
591,SPF45_HUMAN,13
592,SPT5H_HUMAN,13
593,SRS10_HUMAN,13
594,SRSF4_HUMAN,13
595,SSH3_HUMAN,13
596,SVIL_HUMAN,13
597,TBB3_HUMAN,13
598,TBB4B_HUMAN,13
599,TCPD_HUMAN,13
600,TENS3_HUMAN,13
601,TICRR_HUMAN,13
602,TNIK_HUMAN,13
603,TRI33_HUMAN,13
604,ULK1_HUMAN,13
605,VINC_HUMAN,13
606,ZFAN5_HUMAN,13
607,ZMYM4_HUMAN,13
608,ACTC_HUMAN,12
609,ACTN1_HUMAN,12
610,ALDOC_HUMAN,12
611,AMOL2_HUMAN,12
612,AMPD2_HUMAN,12
613,ANXA2_HUMAN,12
614,ARHGI_HUMAN,12
615,BCOR_HUMAN,12
616,CD11A_HUMAN,12
617,CDK1_HUMAN,12
618,CK084_HUMAN,12
619,CL045_HUMAN,12
620,CRTC2_HUMAN,12
621,CSDE1_HUMAN,12
622,CUX1_HUMAN,12
623,DAXX_HUMAN,12
624,DBNL_HUMAN,12
625,DC1L2_HUMAN,12
626,DCP1B_HUMAN,12
627,DDX5_HUMAN,12
628,DOT1L_HUMAN,12
629,ERC6L_HUMAN,12
630,ETV6_HUMAN,12
631,EZH2_HUMAN,12
632,FBP1L_HUMAN,12
633,FXR2_HUMAN,12
634,GIT1_HUMAN,12
635,GON4L_HUMAN,12
636,HELZ_HUMAN,12
637,HMGB1_HUMAN,12
638,IDHC_HUMAN,12
639,K0930_HUMAN,12
640,LC7L2_HUMAN,12
641,LMNB2_HUMAN,12
642,LN28A_HUMAN,12
643,LRCH4_HUMAN,12
644,MK67I_HUMAN,12
645,MSL1_HUMAN,12
646,NCOA5_HUMAN,12
647,NF2IP_HUMAN,12
648,NIBL1_HUMAN,12
649,PCY1A_HUMAN,12
650,PELP1_HUMAN,12
651,PNISR_HUMAN,12
652,PP4R2_HUMAN,12
653,PP6R3_HUMAN,12
654,PPIB_HUMAN,12
655,PRCC_HUMAN,12
656,PRSR2_HUMAN,12
657,RB6I2_HUMAN,12
658,RBM25_HUMAN,12
659,SF3B3_HUMAN,12
660,SH3K1_HUMAN,12
661,SHIP1_HUMAN,12
662,SIN3A_HUMAN,12
663,SIR1_HUMAN,12
664,SPB1_HUMAN,12
665,SRSF6_HUMAN,12
666,STIM2_HUMAN,12
667,T22D4_HUMAN,12
668,TBB4A_HUMAN,12
669,TCEA1_HUMAN,12
670,TFP11_HUMAN,12
671,TNC18_HUMAN,12
672,TOM70_HUMAN,12
673,TPD54_HUMAN,12
674,TYB4_HUMAN,12
675,U2AF2_HUMAN,12
676,UBP15_HUMAN,12
677,UNG_HUMAN,12
678,UTF1_HUMAN,12
679,VIR_HUMAN,12
680,WAPL_HUMAN,12
681,XRCC6_HUMAN,12
682,ZBT7A_HUMAN,12
683,ZCHC8_HUMAN,12
684,ZEB2_HUMAN,12
685,ZFP91_HUMAN,12
686,ZN423_HUMAN,12
687,ARHGH_HUMAN,11
688,ASPP2_HUMAN,11
689,BAIP2_HUMAN,11
690,BAP18_HUMAN,11
691,BCAT1_HUMAN,11
692,BRPF1_HUMAN,11
693,CAF1B_HUMAN,11
694,CARD9_HUMAN,11
695,CBL_HUMAN,11
696,CCNL1_HUMAN,11
697,CD11B_HUMAN,11
698,CD2B2_HUMAN,11
699,CDK14_HUMAN,11
