,Protein,Number_of_detected_peptides
2635,MUS81_HUMAN,3
2636,MYH14_HUMAN,3
2637,MYO7B_HUMAN,3
2638,MYSM1_HUMAN,3
2639,NAA10_HUMAN,3
2640,NAA25_HUMAN,3
2641,NCF1_HUMAN,3
2642,NCF2_HUMAN,3
2643,NCK1_HUMAN,3
2644,NEB2_HUMAN,3
2645,NED4L_HUMAN,3
2646,NEK4_HUMAN,3
2647,NEMO_HUMAN,3
2648,NFAC3_HUMAN,3
2649,NFX1_HUMAN,3
2650,NFXL1_HUMAN,3
2651,NMT1_HUMAN,3
2652,NOP16_HUMAN,3
2653,NOTC2_HUMAN,3
2654,NPY1R_HUMAN,3
2655,NRK_HUMAN,3
2656,NU160_HUMAN,3
2657,NUP88_HUMAN,3
2658,NXF3_HUMAN,3
2659,ODO2_HUMAN,3
2660,ODPAT_HUMAN,3
2661,OSBL1_HUMAN,3
2662,OSBL9_HUMAN,3
2663,P2RY8_HUMAN,3
2664,P33MX_HUMAN,3
2665,P53_HUMAN,3
2666,P5CR1_HUMAN,3
2667,P5CR2_HUMAN,3
2668,PABP4_HUMAN,3
2669,PAN3_HUMAN,3
2670,PANK1_HUMAN,3
2671,PAR6G_HUMAN,3
2672,PBDC1_HUMAN,3
2673,PBIP1_HUMAN,3
2674,PCD17_HUMAN,3
2675,PCDH7_HUMAN,3
2676,PCY1B_HUMAN,3
2677,PDE12_HUMAN,3
2678,PDYN_HUMAN,3
2679,PDZD2_HUMAN,3
2680,PERE_HUMAN,3
2681,PESC_HUMAN,3
2682,PFD2_HUMAN,3
2683,PFKAL_HUMAN,3
2684,PGAM2_HUMAN,3
2685,PHLA2_HUMAN,3
2686,PI4KA_HUMAN,3
2687,PIEZ1_HUMAN,3
2688,PIMT_HUMAN,3
2689,PITC1_HUMAN,3
2690,PKHA1_HUMAN,3
2691,PKHM1_HUMAN,3
2692,PKHO2_HUMAN,3
2693,PLIN5_HUMAN,3
2694,PLK1_HUMAN,3
2695,PLST_HUMAN,3
2696,PNPT1_HUMAN,3
2697,POLH_HUMAN,3
2698,PP6R2_HUMAN,3
2699,PPIP1_HUMAN,3
2700,PPM1D_HUMAN,3
2701,PPR18_HUMAN,3
2702,PPR3F_HUMAN,3
2703,PPRC1_HUMAN,3
2704,PR14L_HUMAN,3
2705,PRC1_HUMAN,3
2706,PRP17_HUMAN,3
2707,PRP19_HUMAN,3
2708,PRP31_HUMAN,3
2709,PRPF3_HUMAN,3
2710,PRS4_HUMAN,3
2711,PRS6A_HUMAN,3
2712,PRTN3_HUMAN,3
2713,PSA_HUMAN,3
2714,PSD11_HUMAN,3
2715,PSD3_HUMAN,3
2716,PSN1_HUMAN,3
2717,PTOV1_HUMAN,3
2718,PTPRA_HUMAN,3
2719,PUR2_HUMAN,3
2720,PUR4_HUMAN,3
2721,PWP1_HUMAN,3
2722,QRIC1_HUMAN,3
2723,RAB13_HUMAN,3
2724,RAB1A_HUMAN,3
2725,RAB8A_HUMAN,3
2726,RABX5_HUMAN,3
2727,RAM_HUMAN,3
2728,RANB9_HUMAN,3
2729,RASF8_HUMAN,3
2730,RBBP5_HUMAN,3
2731,RBCC1_HUMAN,3
2732,RBM8A_HUMAN,3
2733,RECQ4_HUMAN,3
2734,REEP3_HUMAN,3
2735,REEP4_HUMAN,3
2736,RERE_HUMAN,3
2737,REXO1_HUMAN,3
2738,RGPD2_HUMAN,3
2739,RGS12_HUMAN,3
2740,RGS3_HUMAN,3
2741,RHDF1_HUMAN,3
2742,RHG01_HUMAN,3
2743,RHG23_HUMAN,3
2744,RIMB1_HUMAN,3
2745,RIOK2_HUMAN,3
2746,RIPK3_HUMAN,3
2747,RL13A_HUMAN,3
2748,RL21_HUMAN,3
2749,RL22L_HUMAN,3
2750,RL35_HUMAN,3
2751,RN114_HUMAN,3
2752,RNF31_HUMAN,3
2753,ROCK2_HUMAN,3
2754,ROR1_HUMAN,3
2755,RPC5_HUMAN,3
2756,RPGF2_HUMAN,3
2757,RPGP1_HUMAN,3
2758,RPGR_HUMAN,3
2759,RPR1A_HUMAN,3
2760,RRAGC_HUMAN,3
2761,RRBP1_HUMAN,3
2762,RRP36_HUMAN,3
2763,RRP5_HUMAN,3
2764,RS21_HUMAN,3
2765,RS23_HUMAN,3
2766,RS4Y1_HUMAN,3
2767,RS5_HUMAN,3
2768,RUBIC_HUMAN,3
2769,RUNX2_HUMAN,3
2770,RUSD2_HUMAN,3
2771,RUVB1_HUMAN,3
2772,RXRA_HUMAN,3
2773,SAC31_HUMAN,3
2774,SACS_HUMAN,3
2775,SAE2_HUMAN,3
2776,SARNP_HUMAN,3
2777,SATB2_HUMAN,3
2778,SCAM3_HUMAN,3
2779,SCAPE_HUMAN,3
2780,SDCG3_HUMAN,3
2781,SDE2_HUMAN,3
2782,SEC13_HUMAN,3
2783,SEM4B_HUMAN,3
2784,SEM4C_HUMAN,3
2785,SEN54_HUMAN,3
2786,SENP1_HUMAN,3
2787,SENP6_HUMAN,3
2788,SETB1_HUMAN,3
2789,SFRP2_HUMAN,3
2790,SGPP1_HUMAN,3
2791,SH2B1_HUMAN,3
2792,SH2B3_HUMAN,3
2793,SHB_HUMAN,3
2794,SHIP2_HUMAN,3
2795,SHRPN_HUMAN,3
2796,SIN1_HUMAN,3
2797,SIR2_HUMAN,3
2798,SLX4I_HUMAN,3
2799,SMC5_HUMAN,3
2800,SMCR8_HUMAN,3
2801,SMG1_HUMAN,3
2802,SNAPN_HUMAN,3
2803,SNX2_HUMAN,3
2804,SOGA1_HUMAN,3
2805,SP2_HUMAN,3
2806,SP4_HUMAN,3
2807,SPE39_HUMAN,3
2808,SPEE_HUMAN,3
2809,SPY4_HUMAN,3
2810,SRA1_HUMAN,3
2811,SRBS2_HUMAN,3
2812,SRC_HUMAN,3
2813,SRF_HUMAN,3
2814,SRRM5_HUMAN,3
2815,ST134_HUMAN,3
2816,ST32C_HUMAN,3
2817,STAG1_HUMAN,3
2818,STAG2_HUMAN,3
2819,STEA3_HUMAN,3
2820,STON2_HUMAN,3
2821,STRBP_HUMAN,3
2822,STRN4_HUMAN,3
2823,STX7_HUMAN,3
2824,STXB3_HUMAN,3
2825,SUN2_HUMAN,3
2826,SURF2_HUMAN,3
2827,SUV91_HUMAN,3
2828,SYLC_HUMAN,3
2829,SYNE2_HUMAN,3
2830,TAC2N_HUMAN,3
2831,TATD2_HUMAN,3
2832,TB22A_HUMAN,3
2833,TBA3E_HUMAN,3
2834,TBA4B_HUMAN,3
2835,TBCC_HUMAN,3
2836,TBD2B_HUMAN,3
2837,TCPW_HUMAN,3
2838,TDR12_HUMAN,3
2839,TENA_HUMAN,3
2840,TENS1_HUMAN,3
2841,TESK2_HUMAN,3
2842,TF65_HUMAN,3
2843,TFAM_HUMAN,3
2844,TFDP1_HUMAN,3
2845,TFE3_HUMAN,3
2846,TGON2_HUMAN,3
2847,THOC1_HUMAN,3
2848,TINF2_HUMAN,3
2849,TISB_HUMAN,3
2850,TLE4_HUMAN,3
2851,TM131_HUMAN,3
2852,TMC6_HUMAN,3
2853,TMEDA_HUMAN,3
2854,TMX2_HUMAN,3
2855,TNPO1_HUMAN,3
2856,TNS2_HUMAN,3
2857,TOM1_HUMAN,3
2858,TONSL_HUMAN,3
2859,TOP1_HUMAN,3
2860,TPM2_HUMAN,3
2861,TPP2_HUMAN,3
2862,TRAF4_HUMAN,3
2863,TRAK1_HUMAN,3
2864,TRI18_HUMAN,3
2865,TRM2A_HUMAN,3
2866,TRPT1_HUMAN,3
2867,TRPV3_HUMAN,3
2868,TTF1_HUMAN,3
2869,TXLNG_HUMAN,3
2870,UBC12_HUMAN,3
2871,UBP16_HUMAN,3
2872,UBP22_HUMAN,3
2873,UBP28_HUMAN,3
2874,UBP7_HUMAN,3
2875,UCK1_HUMAN,3
2876,UFL1_HUMAN,3
2877,UIF_HUMAN,3
2878,UMPS_HUMAN,3
2879,UN13D_HUMAN,3
2880,UN45A_HUMAN,3
2881,UN93B_HUMAN,3
2882,USP9X_HUMAN,3
2883,UTP20_HUMAN,3
2884,UTRO_HUMAN,3
2885,VANG1_HUMAN,3
2886,VASH2_HUMAN,3
2887,VEZF1_HUMAN,3
2888,VGF_HUMAN,3
2889,VPP2_HUMAN,3
2890,VPS4B_HUMAN,3
2891,VTDB_HUMAN,3
2892,WASP_HUMAN,3
2893,WDFY4_HUMAN,3
2894,WDR13_HUMAN,3
2895,WDR59_HUMAN,3
2896,WDR70_HUMAN,3
2897,WDR75_HUMAN,3
2898,YRDC_HUMAN,3
2899,YTHD2_HUMAN,3
2900,ZBT11_HUMAN,3
2901,ZBT44_HUMAN,3
2902,ZBTB3_HUMAN,3
2903,ZCRB1_HUMAN,3
2904,ZDH18_HUMAN,3
2905,ZEB1_HUMAN,3
2906,ZFY26_HUMAN,3
2907,ZGRF1_HUMAN,3
2908,ZHANG_HUMAN,3
2909,ZHX2_HUMAN,3
2910,ZN121_HUMAN,3
2911,ZN142_HUMAN,3
2912,ZN239_HUMAN,3
2913,ZN296_HUMAN,3
2914,ZN362_HUMAN,3
2915,ZN408_HUMAN,3
2916,ZN496_HUMAN,3
2917,ZN507_HUMAN,3
2918,ZN579_HUMAN,3
2919,ZN593_HUMAN,3
2920,ZN639_HUMAN,3
2921,ZN644_HUMAN,3
2922,ZN652_HUMAN,3
2923,ZN830_HUMAN,3
2924,ZNRF1_HUMAN,3
2925,ZSA5B_HUMAN,3
2926,ZSC29_HUMAN,3
2927,3BP2_HUMAN,2
2928,A2MG_HUMAN,2
2929,A7L3B_HUMAN,2
2930,AAAT_HUMAN,2
2931,AATM_HUMAN,2
2932,ABCA2_HUMAN,2
2933,ABCF2_HUMAN,2
2934,ABH15_HUMAN,2
2935,ACK1_HUMAN,2
2936,ACPH_HUMAN,2
2937,ACPM_HUMAN,2
2938,ACTN2_HUMAN,2
2939,ADA17_HUMAN,2
2940,ADCY6_HUMAN,2
2941,AFTIN_HUMAN,2
2942,AIF1L_HUMAN,2
2943,AIP_HUMAN,2
2944,AKAP5_HUMAN,2
2945,AL1A1_HUMAN,2
2946,AL3A2_HUMAN,2
2947,AMFR_HUMAN,2
2948,AMOL1_HUMAN,2
2949,AMPD3_HUMAN,2
2950,AMPH_HUMAN,2
2951,AMPL_HUMAN,2
2952,AN32D_HUMAN,2
2953,ANC2_HUMAN,2
2954,ANK1_HUMAN,2
2955,ANX11_HUMAN,2
2956,AP1M1_HUMAN,2
2957,AP3B1_HUMAN,2
2958,AP3B2_HUMAN,2
2959,APC4_HUMAN,2
2960,APEX1_HUMAN,2
2961,APMAP_HUMAN,2
2962,APOA1_HUMAN,2
2963,APOC3_HUMAN,2
2964,APOE_HUMAN,2
2965,APOL1_HUMAN,2
2966,ARHG8_HUMAN,2
2967,ARID2_HUMAN,2
2968,ARMX3_HUMAN,2
2969,ARPC5_HUMAN,2
2970,ASCC2_HUMAN,2
2971,ASH2L_HUMAN,2
2972,ASNA_HUMAN,2
2973,ASPM_HUMAN,2
2974,AT133_HUMAN,2
2975,AT2B2_HUMAN,2
2976,ATD3A_HUMAN,2
2977,ATF1_HUMAN,2
2978,ATF7_HUMAN,2
2979,ATG13_HUMAN,2
2980,ATG2A_HUMAN,2
2981,ATIF1_HUMAN,2
2982,ATX10_HUMAN,2
2983,ATX1L_HUMAN,2
2984,ATX3_HUMAN,2
2985,ATX7_HUMAN,2
2986,AVEN_HUMAN,2
2987,B3GN8_HUMAN,2
2988,BABA1_HUMAN,2
2989,BACD3_HUMAN,2
2990,BAG4_HUMAN,2
2991,BANP_HUMAN,2
2992,BATF3_HUMAN,2
2993,BAZ2B_HUMAN,2
2994,BCAR1_HUMAN,2
2995,BCD1_HUMAN,2
2996,BCL7B_HUMAN,2
2997,BOLA1_HUMAN,2
2998,BOREA_HUMAN,2
2999,BRF2_HUMAN,2
3000,BRPF3_HUMAN,2
3001,BRWD3_HUMAN,2
3002,BT3L4_HUMAN,2
3003,C2CD3_HUMAN,2
3004,CA021_HUMAN,2
3005,CABIN_HUMAN,2
3006,CAHD1_HUMAN,2
3007,CAN15_HUMAN,2
3008,CANB1_HUMAN,2
3009,CAND1_HUMAN,2
3010,CAP2_HUMAN,2
3011,CASZ1_HUMAN,2
3012,CBLB_HUMAN,2
3013,CBPA6_HUMAN,2
3014,CBX1_HUMAN,2
3015,CBY3_HUMAN,2
3016,CC124_HUMAN,2
3017,CC85A_HUMAN,2
3018,CCD18_HUMAN,2
3019,CCD39_HUMAN,2
3020,CCD58_HUMAN,2
3021,CCD87_HUMAN,2
3022,CCD93_HUMAN,2
3023,CCD97_HUMAN,2
3024,CCDC8_HUMAN,2
3025,CCZ1B_HUMAN,2
3026,CD33_HUMAN,2
3027,CD4_HUMAN,2
3028,CDC26_HUMAN,2
3029,CDC37_HUMAN,2
3030,CDCA7_HUMAN,2
3031,CDK2_HUMAN,2
3032,CDK5_HUMAN,2
3033,CDR2L_HUMAN,2
3034,CELR1_HUMAN,2
3035,CENPN_HUMAN,2
3036,CENPO_HUMAN,2
3037,CEP76_HUMAN,2
3038,CEP95_HUMAN,2
3039,CEP97_HUMAN,2
3040,CERU_HUMAN,2
3041,CF223_HUMAN,2
3042,CHCH3_HUMAN,2
3043,CHD5_HUMAN,2
3044,CHD9_HUMAN,2
3045,CJ012_HUMAN,2
3046,CKP2L_HUMAN,2
3047,CLD6_HUMAN,2
3048,CLIC6_HUMAN,2
3049,CLPB_HUMAN,2
3050,CM029_HUMAN,2
3051,CN37_HUMAN,2
3052,CNDP2_HUMAN,2
3053,CNKR1_HUMAN,2
3054,CNNM4_HUMAN,2
3055,CNOT3_HUMAN,2
3056,CNPY2_HUMAN,2
3057,COG6_HUMAN,2
3058,COPD_HUMAN,2
3059,CORO7_HUMAN,2
3060,COX5A_HUMAN,2
3061,COX5B_HUMAN,2
3062,CP054_HUMAN,2
3063,CPSF2_HUMAN,2
3064,CPSF4_HUMAN,2
3065,CQ047_HUMAN,2
3066,CRCM_HUMAN,2
3067,CS057_HUMAN,2
3068,CS068_HUMAN,2
3069,CSK21_HUMAN,2
3070,CSKI1_HUMAN,2
3071,CTBL1_HUMAN,2
3072,CTBP2_HUMAN,2
3073,CTCF_HUMAN,2
3074,CTGE2_HUMAN,2
3075,CTND2_HUMAN,2
3076,CUED2_HUMAN,2
3077,CUL4A_HUMAN,2
3078,CX038_HUMAN,2
3079,CXG1_HUMAN,2
3080,CY24A_HUMAN,2
3081,CYBR1_HUMAN,2
3082,CYC_HUMAN,2
3083,DAAF1_HUMAN,2
3084,DACH1_HUMAN,2
3085,DAPK3_HUMAN,2
3086,DBND1_HUMAN,2
3087,DCA15_HUMAN,2
3088,DCAF6_HUMAN,2
3089,DCTN2_HUMAN,2
3090,DDHD1_HUMAN,2
3091,DDX18_HUMAN,2
3092,DDX59_HUMAN,2
3093,DEN2A_HUMAN,2
3094,DEN5B_HUMAN,2
3095,DESM_HUMAN,2
3096,DGKH_HUMAN,2
3097,DHB4_HUMAN,2
3098,DHE3_HUMAN,2
3099,DHE4_HUMAN,2
3100,DHR13_HUMAN,2
3101,DHX34_HUMAN,2
3102,DHX40_HUMAN,2
3103,DMAP1_HUMAN,2
3104,DNJB1_HUMAN,2
3105,DNJB6_HUMAN,2
3106,DNJC1_HUMAN,2
3107,DNJC8_HUMAN,2
3108,DNPH1_HUMAN,2
3109,DOCK4_HUMAN,2
3110,DOK7_HUMAN,2
3111,DPOD2_HUMAN,2
3112,DPOE1_HUMAN,2
3113,DPOLZ_HUMAN,2
3114,DRG1_HUMAN,2
3115,DUS3_HUMAN,2
3116,DYH6_HUMAN,2
3117,DYH7_HUMAN,2
3118,DYL1_HUMAN,2
3119,DYN1_HUMAN,2
3120,DYN2_HUMAN,2
3121,DYRK2_HUMAN,2
3122,E2AK4_HUMAN,2
3123,ECHB_HUMAN,2
3124,EDF1_HUMAN,2
3125,EFNB1_HUMAN,2
3126,EFR3A_HUMAN,2
3127,EGLN1_HUMAN,2
3128,EI24_HUMAN,2
3129,EIF3D_HUMAN,2
3130,ELF2_HUMAN,2
3131,ELMO3_HUMAN,2
3132,ENPLL_HUMAN,2
3133,EPC2_HUMAN,2
3134,EPCAM_HUMAN,2
3135,EPHA1_HUMAN,2
3136,ERBB3_HUMAN,2
3137,ERLN1_HUMAN,2
3138,ERP29_HUMAN,2
3139,ERR1_HUMAN,2
3140,ETV4_HUMAN,2
3141,EVPL_HUMAN,2
3142,EXOC2_HUMAN,2
3143,EXOS5_HUMAN,2
3144,F110A_HUMAN,2
3145,F124A_HUMAN,2
3146,F16A2_HUMAN,2
3147,F175B_HUMAN,2
3148,F1891_HUMAN,2
3149,F193B_HUMAN,2
3150,F207A_HUMAN,2
3151,FA47A_HUMAN,2
3152,FA49B_HUMAN,2
3153,FA84B_HUMAN,2
3154,FA98C_HUMAN,2
3155,FANCI_HUMAN,2
3156,FBX21_HUMAN,2
3157,FBX42_HUMAN,2
3158,FBX46_HUMAN,2
3159,FBX4_HUMAN,2
3160,FBXW5_HUMAN,2
3161,FES_HUMAN,2
3162,FGD3_HUMAN,2
3163,FGFR3_HUMAN,2
3164,FIBA_HUMAN,2
3165,FKB1A_HUMAN,2
3166,FLII_HUMAN,2
3167,FMN2_HUMAN,2
3168,FOXJ2_HUMAN,2
3169,FOXJ3_HUMAN,2
3170,FOXN3_HUMAN,2
3171,FOXP1_HUMAN,2
3172,FRMD3_HUMAN,2
3173,FRPD3_HUMAN,2
3174,FWCH2_HUMAN,2
3175,FXL19_HUMAN,2
3176,FZR_HUMAN,2
3177,G3PT_HUMAN,2
3178,GAG2A_HUMAN,2
3179,GAGE1_HUMAN,2
3180,GALT6_HUMAN,2
3181,GCFC2_HUMAN,2
3182,GELS_HUMAN,2
3183,GIPC1_HUMAN,2
3184,GLYC_HUMAN,2
3185,GOGA1_HUMAN,2
3186,GOGA2_HUMAN,2
3187,GOLM1_HUMAN,2
3188,GP183_HUMAN,2
3189,GPR98_HUMAN,2
3190,GPSM1_HUMAN,2
3191,GPSM2_HUMAN,2
3192,GPSM3_HUMAN,2
3193,GPT2L_HUMAN,2
3194,GRAM3_HUMAN,2
3195,GRAP1_HUMAN,2
3196,GRL1A_HUMAN,2
3197,GRPE1_HUMAN,2
3198,GSTO1_HUMAN,2
3199,GTR3_HUMAN,2
3200,GZF1_HUMAN,2
3201,H1BP3_HUMAN,2
3202,H1T_HUMAN,2
3203,H2A1H_HUMAN,2
3204,H2A1J_HUMAN,2
3205,H2AJ_HUMAN,2
3206,H2AW_HUMAN,2
3207,H2B1C_HUMAN,2
3208,H2B1D_HUMAN,2
3209,H2B2E_HUMAN,2
3210,HBA_HUMAN,2
3211,HBB_HUMAN,2
3212,HDAC5_HUMAN,2
3213,HDAC6_HUMAN,2
3214,HEAT3_HUMAN,2
3215,HECD4_HUMAN,2
3216,HELB_HUMAN,2
3217,HIPK1_HUMAN,2
3218,HIPK3_HUMAN,2
3219,HMGB3_HUMAN,2
3220,HMGN5_HUMAN,2
3221,HMOX1_HUMAN,2
3222,HOMEZ_HUMAN,2
3223,HOOK1_HUMAN,2
3224,HPT_HUMAN,2
3225,HS71A_HUMAN,2
3226,HS904_HUMAN,2
3227,HXK1_HUMAN,2
3228,HYCCI_HUMAN,2
3229,HYOU1_HUMAN,2
3230,I17RA_HUMAN,2
3231,I18RA_HUMAN,2
3232,ICAM3_HUMAN,2
3233,ICE2_HUMAN,2
3234,ID2_HUMAN,2
3235,IF2B2_HUMAN,2
3236,IF2B3_HUMAN,2
3237,IFRD1_HUMAN,2
3238,IKZF2_HUMAN,2
3239,IL1AP_HUMAN,2
3240,IL3RB_HUMAN,2
3241,ILK_HUMAN,2
3242,IMA4_HUMAN,2
3243,IMDH1_HUMAN,2
3244,INT4_HUMAN,2
3245,INT5_HUMAN,2
3246,IRAK1_HUMAN,2
3247,IRF3_HUMAN,2
3248,IRF6_HUMAN,2
3249,IRX2_HUMAN,2
3250,ISCU_HUMAN,2
3251,ITA4_HUMAN,2
3252,ITB1_HUMAN,2
3253,ITB2_HUMAN,2
3254,ITB5_HUMAN,2
3255,ITB7_HUMAN,2
3256,ITIH2_HUMAN,2
3257,ITPR3_HUMAN,2
3258,JADE3_HUMAN,2
3259,JARD2_HUMAN,2
3260,JCAD_HUMAN,2
3261,JOS1_HUMAN,2
3262,JUNB_HUMAN,2
3263,K0947_HUMAN,2
3264,K1109_HUMAN,2
3265,K121L_HUMAN,2
3266,K1C10_HUMAN,2
3267,K1C15_HUMAN,2
3268,K2C79_HUMAN,2
3269,KANK4_HUMAN,2
3270,KAPCA_HUMAN,2
3271,KC1E_HUMAN,2
3272,KDM5D_HUMAN,2
3273,KI20B_HUMAN,2
3274,KI26A_HUMAN,2
3275,KIBRA_HUMAN,2
3276,KIF11_HUMAN,2
3277,KIF22_HUMAN,2
3278,KIF4B_HUMAN,2
3279,KIFC1_HUMAN,2
3280,KLH22_HUMAN,2
3281,KPCT_HUMAN,2
3282,KPRA_HUMAN,2
3283,KRT84_HUMAN,2
3284,KSYK_HUMAN,2
3285,KTU_HUMAN,2
3286,LAIR1_HUMAN,2
3287,LAT4_HUMAN,2
3288,LBH_HUMAN,2
3289,LCOR_HUMAN,2
3290,LDLR_HUMAN,2
3291,LEGL_HUMAN,2
3292,LIMK2_HUMAN,2
3293,LIN37_HUMAN,2
3294,LIPA4_HUMAN,2
3295,LIX1L_HUMAN,2
3296,LONM_HUMAN,2
3297,LOX12_HUMAN,2
3298,LPIN2_HUMAN,2
3299,LPIN3_HUMAN,2
3300,LPP_HUMAN,2
3301,LRC40_HUMAN,2
3302,LRC8D_HUMAN,2
3303,LRIG1_HUMAN,2
3304,LRP1_HUMAN,2
3305,MA2B1_HUMAN,2
3306,MA7D2_HUMAN,2
3307,MAGG1_HUMAN,2
3308,MAK16_HUMAN,2
3309,MALD2_HUMAN,2
3310,MAOM_HUMAN,2
3311,MARE3_HUMAN,2
3312,MATK_HUMAN,2
3313,MB12B_HUMAN,2
3314,MBD3_HUMAN,2
3315,MCL1_HUMAN,2
3316,MCPH1_HUMAN,2
3317,MCRS1_HUMAN,2
3318,MCTP2_HUMAN,2
3319,MDM1_HUMAN,2
3320,MED12_HUMAN,2
3321,MED24_HUMAN,2
3322,MED29_HUMAN,2
3323,MED31_HUMAN,2
3324,MED9_HUMAN,2
3325,MELT_HUMAN,2
3326,MERL_HUMAN,2
3327,MET10_HUMAN,2
3328,MET12_HUMAN,2
3329,MGAT2_HUMAN,2
3330,MGMT_HUMAN,2
3331,MGN_HUMAN,2
3332,MIB1_HUMAN,2
3333,MIB2_HUMAN,2
3334,MK09_HUMAN,2
3335,MLXPL_HUMAN,2
3336,MMP15_HUMAN,2
3337,MOCOS_HUMAN,2
3338,MOT4_HUMAN,2
3339,MOV10_HUMAN,2
3340,MP2K7_HUMAN,2
3341,MPIP1_HUMAN,2
3342,MPP10_HUMAN,2
3343,MPP2_HUMAN,2
3344,MPP6_HUMAN,2
3345,MPP9_HUMAN,2
3346,MS18A_HUMAN,2
3347,MSX2_HUMAN,2
3348,MT1E_HUMAN,2
3349,MTBP_HUMAN,2
3350,MTFR1_HUMAN,2
3351,MTMR2_HUMAN,2
3352,MTMRA_HUMAN,2
3353,MTRR_HUMAN,2
3354,MTUS1_HUMAN,2
3355,MTUS2_HUMAN,2
3356,MTX3_HUMAN,2
3357,MYB_HUMAN,2
3358,MYEF2_HUMAN,2
3359,MYH16_HUMAN,2
3360,MYLK_HUMAN,2
3361,MZT2A_HUMAN,2
3362,NAA15_HUMAN,2
3363,NAA16_HUMAN,2
3364,NAF1_HUMAN,2
3365,NDC1_HUMAN,2
3366,NDC80_HUMAN,2
3367,NDKB_HUMAN,2
3368,NDUS2_HUMAN,2
3369,NEB1_HUMAN,2
3370,NEBL_HUMAN,2
3371,NEK3_HUMAN,2
3372,NEK6_HUMAN,2
3373,NELFB_HUMAN,2
3374,NFIB_HUMAN,2
3375,NFYA_HUMAN,2
3376,NH2L1_HUMAN,2
3377,NHSL2_HUMAN,2
3378,NINL_HUMAN,2
3379,NMD3_HUMAN,2
3380,NMNA1_HUMAN,2
3381,NNRE_HUMAN,2
3382,NO40_HUMAN,2
3383,NOL6_HUMAN,2
3384,NOL9_HUMAN,2
3385,NOMO3_HUMAN,2
3386,NOSIP_HUMAN,2
3387,NPAT_HUMAN,2
3388,NPM3_HUMAN,2
3389,NRIP1_HUMAN,2
3390,NSD3_HUMAN,2
3391,NSMA3_HUMAN,2
3392,NSN5C_HUMAN,2
3393,NU155_HUMAN,2
3394,NUCB1_HUMAN,2
3395,NUDC_HUMAN,2
3396,NUDT5_HUMAN,2
3397,NUPL2_HUMAN,2
3398,NXP20_HUMAN,2
3399,NYAP1_HUMAN,2
3400,OAT_HUMAN,2
3401,OCLN_HUMAN,2
3402,ODFP2_HUMAN,2
3403,ODPB_HUMAN,2
3404,OGFD1_HUMAN,2
3405,OSB11_HUMAN,2
3406,OSBL7_HUMAN,2
3407,OSBP2_HUMAN,2
3408,OSER1_HUMAN,2
3409,P2R3A_HUMAN,2
3410,P2RY2_HUMAN,2
3411,P3C2A_HUMAN,2
3412,P3H1_HUMAN,2
3413,P4R3B_HUMAN,2
3414,P5F1B_HUMAN,2
3415,P5I11_HUMAN,2
3416,PACE1_HUMAN,2
3417,PACS2_HUMAN,2
3418,PALB2_HUMAN,2
3419,PANK4_HUMAN,2
3420,PAP1M_HUMAN,2
3421,PAR3L_HUMAN,2
3422,PCD16_HUMAN,2
3423,PCDGK_HUMAN,2
3424,PCGF6_HUMAN,2
3425,PCX3_HUMAN,2
3426,PDCD5_HUMAN,2
3427,PDCD6_HUMAN,2
3428,PDCL3_HUMAN,2
3429,PDE4A_HUMAN,2
3430,PDE5A_HUMAN,2
3431,PDLI4_HUMAN,2
3432,PDPK2_HUMAN,2
3433,PERI_HUMAN,2
3434,PEX14_HUMAN,2
3435,PFD5_HUMAN,2
3436,PGAM4_HUMAN,2
3437,PGM5_HUMAN,2
3438,PGP_HUMAN,2
3439,PHAR1_HUMAN,2
3440,PHF10_HUMAN,2
3441,PI3R4_HUMAN,2
3442,PI5PA_HUMAN,2
3443,PINX1_HUMAN,2
3444,PIPSL_HUMAN,2
3445,PJA2_HUMAN,2
3446,PKD2_HUMAN,2
3447,PLCL2_HUMAN,2
3448,PLD1_HUMAN,2
3449,PLEK_HUMAN,2
3450,PLPP3_HUMAN,2
3451,PNPO_HUMAN,2
3452,PP14A_HUMAN,2
3453,PP16A_HUMAN,2
3454,PP1A_HUMAN,2
3455,PPM1G_HUMAN,2
3456,PPME1_HUMAN,2
3457,PPR1B_HUMAN,2
3458,PQLC1_HUMAN,2
3459,PRD10_HUMAN,2
3460,PRG2_HUMAN,2
3461,PRGR_HUMAN,2
3462,PRIC2_HUMAN,2
3463,PRLD1_HUMAN,2
3464,PRPS2_HUMAN,2
3465,PRR15_HUMAN,2
3466,PRR3_HUMAN,2
3467,PRS7_HUMAN,2
3468,PRUN2_HUMAN,2
3469,PSA4_HUMAN,2
3470,PSA7L_HUMAN,2
3471,PSA7_HUMAN,2
3472,PSB10_HUMAN,2
3473,PSB1_HUMAN,2
3474,PSB2_HUMAN,2
3475,PSB3_HUMAN,2
3476,PSB4_HUMAN,2
3477,PSB5_HUMAN,2
3478,PSB7_HUMAN,2
3479,PSMD3_HUMAN,2
3480,PSMD8_HUMAN,2
3481,PSME1_HUMAN,2
3482,PSME2_HUMAN,2
3483,PSME3_HUMAN,2
3484,PSMG3_HUMAN,2
3485,PTMA_HUMAN,2
3486,PTMS_HUMAN,2
3487,PTN18_HUMAN,2
3488,PTPRC_HUMAN,2
3489,PTPRK_HUMAN,2
3490,PTPRZ_HUMAN,2
3491,PTPS_HUMAN,2
3492,PTSS2_HUMAN,2
